id,book_image_url,url_shape
0,https://images.gr-assets.com/books/1500683049l/35724244.jpg,"(280, 181, 3)"
1,https://images.gr-assets.com/books/1445900480l/27282801.jpg,"(400, 260, 3)"
2,https://images.gr-assets.com/books/1503059955l/417656.jpg,"(400, 260, 3)"
3,https://images.gr-assets.com/books/1409779869l/6530493.jpg,"(400, 264, 3)"
4,https://images.gr-assets.com/books/1311645483l/2182.jpg,"(475, 305, 3)"
5,https://images.gr-assets.com/books/1419181189l/411475.jpg,"(400, 307, 3)"
6,https://images.gr-assets.com/books/1348634027l/12862036.jpg,"(400, 266, 3)"
7,https://images.gr-assets.com/books/1442112017l/1670616.jpg,"(183, 120, 3)"
8,https://images.gr-assets.com/books/1348732833l/281493.jpg,"(264, 318, 3)"
9,https://images.gr-assets.com/books/1441385977l/25746613.jpg,"(475, 303, 3)"
10,https://images.gr-assets.com/books/1327884112l/2463887.jpg,"(450, 270, 3)"
11,https://images.gr-assets.com/books/1353573624l/511527.jpg,"(337, 222, 3)"
12,https://images.gr-assets.com/books/1288866459l/9642101.jpg,"(475, 291, 3)"
13,https://images.gr-assets.com/books/1270501949l/7987042.jpg,"(445, 283, 3)"
14,https://images.gr-assets.com/books/1176322884l/613000.jpg,"(475, 296, 3)"
15,https://images.gr-assets.com/books/1403201365l/33486.jpg,"(475, 308, 3)"
16,https://images.gr-assets.com/books/1228122355l/5965858.jpg,"(400, 269, 3)"
17,https://images.gr-assets.com/books/1320456193l/484670.jpg,"(319, 318, 3)"
18,https://images.gr-assets.com/books/1311992928l/728447.jpg,"(472, 318, 3)"
19,https://images.gr-assets.com/books/1351456815l/672620.jpg,"(475, 290, 3)"
20,https://images.gr-assets.com/books/1347901398l/84726.jpg,"(475, 284, 3)"
21,https://images.gr-assets.com/books/1327352642l/1305001.jpg,"(225, 170, 3)"
22,https://images.gr-assets.com/books/1499173978l/34848819.jpg,"(346, 221, 3)"
23,https://images.gr-assets.com/books/1388256474l/206893.jpg,"(475, 308, 3)"
24,https://images.gr-assets.com/books/1437958074l/3635.jpg,"(475, 295, 3)"
25,https://images.gr-assets.com/books/1327955203l/10049436.jpg,"(475, 308, 3)"
